Date,Crop,Price_per_Ton_EGP
2023-08-22,Wheat (قمح),10262.75
2023-08-23,Wheat (قمح),10443.92
2023-08-24,Wheat (قمح),10489.03
2023-08-25,Wheat (قمح),10294.67
2023-08-26,Wheat (قمح),10299.2
2023-08-27,Wheat (قمح),10227.25
2023-08-28,Wheat (قمح),10291.43
2023-08-29,Wheat (قمح),10207.42
2023-08-30,Wheat (قمح),10184.28
2023-08-31,Wheat (قمح),10216.78
2023-09-01,Wheat (قمح),10281.62
2023-09-02,Wheat (قمح),10160.4
2023-09-03,Wheat (قمح),10116.97
2023-09-04,Wheat (قمح),10060.79
2023-09-05,Wheat (قمح),9988.44
2023-09-06,Wheat (قمح),10133.67
2023-09-07,Wheat (قمح),10156.35
2023-09-08,Wheat (قمح),10029.01
2023-09-09,Wheat (قمح),10097.66
2023-09-10,Wheat (قمح),10274.6
2023-09-11,Wheat (قمح),10353.38
2023-09-12,Wheat (قمح),10202.41
2023-09-13,Wheat (قمح),10144.52
2023-09-14,Wheat (قمح),10244.16
2023-09-15,Wheat (قمح),10166.02
2023-09-16,Wheat (قمح),10191.45
2023-09-17,Wheat (قمح),10246.58
2023-09-18,Wheat (قمح),10148.52
2023-09-19,Wheat (قمح),10128.47
2023-09-20,Wheat (قمح),9822.01
2023-09-21,Wheat (قمح),9715.02
2023-09-22,Wheat (قمح),9677.46
2023-09-23,Wheat (قمح),9550.3
2023-09-24,Wheat (قمح),9682.31
2023-09-25,Wheat (قمح),9538.68
2023-09-26,Wheat (قمح),9484.12
2023-09-27,Wheat (قمح),9480.92
2023-09-28,Wheat (قمح),9595.65
2023-09-29,Wheat (قمح),9451.43
2023-09-30,Wheat (قمح),9541.12
2023-10-01,Wheat (قمح),9527.04
2023-10-02,Wheat (قمح),9423.7
2023-10-03,Wheat (قمح),9450.31
2023-10-04,Wheat (قمح),9453.24
2023-10-05,Wheat (قمح),9384.26
2023-10-06,Wheat (قمح),9375.61
2023-10-07,Wheat (قمح),9326.02
2023-10-08,Wheat (قمح),9321.35
2023-10-09,Wheat (قمح),9366.09
2023-10-10,Wheat (قمح),9494.02
2023-10-11,Wheat (قمح),9367.85
2023-10-12,Wheat (قمح),9545.11
2023-10-13,Wheat (قمح),9354.75
2023-10-14,Wheat (قمح),9326.48
2023-10-15,Wheat (قمح),9364.88
2023-10-16,Wheat (قمح),9375.68
2023-10-17,Wheat (قمح),9305.22
2023-10-18,Wheat (قمح),9272.15
2023-10-19,Wheat (قمح),9213.51
2023-10-20,Wheat (قمح),9146.28
2023-10-21,Wheat (قمح),9208.65
2023-10-22,Wheat (قمح),9226.77
2023-10-23,Wheat (قمح),9150.5
2023-10-24,Wheat (قمح),9217.65
2023-10-25,Wheat (قمح),9231.59
2023-10-26,Wheat (قمح),9291.14
2023-10-27,Wheat (قمح),9334.32
2023-10-28,Wheat (قمح),9246.33
2023-10-29,Wheat (قمح),9182.65
2023-10-30,Wheat (قمح),9236.77
2023-10-31,Wheat (قمح),9278.69
2023-11-01,Wheat (قمح),9263.93
2023-11-02,Wheat (قمح),9261.74
2023-11-03,Wheat (قمح),9364.12
2023-11-04,Wheat (قمح),9298.41
2023-11-05,Wheat (قمح),9335.33
2023-11-06,Wheat (قمح),9304.96
2023-11-07,Wheat (قمح),9273.35
2023-11-08,Wheat (قمح),9360.37
2023-11-09,Wheat (قمح),9422.95
2023-11-10,Wheat (قمح),9484.63
2023-11-11,Wheat (قمح),9590.75
2023-11-12,Wheat (قمح),9581.43
2023-11-13,Wheat (قمح),9631.78
2023-11-14,Wheat (قمح),9593.0
2023-11-15,Wheat (قمح),9611.5
2023-11-16,Wheat (قمح),9589.29
2023-11-17,Wheat (قمح),9587.72
2023-11-18,Wheat (قمح),9631.17
2023-11-19,Wheat (قمح),9547.6
2023-11-20,Wheat (قمح),9726.19
2023-11-21,Wheat (قمح),9626.11
2023-11-22,Wheat (قمح),9507.51
2023-11-23,Wheat (قمح),9602.61
2023-11-24,Wheat (قمح),9664.94
2023-11-25,Wheat (قمح),9712.4
2023-11-26,Wheat (قمح),9760.45
2023-11-27,Wheat (قمح),9751.06
2023-11-28,Wheat (قمح),9662.23
2023-11-29,Wheat (قمح),9661.21
2023-11-30,Wheat (قمح),9592.63
2023-12-01,Wheat (قمح),9672.99
2023-12-02,Wheat (قمح),9652.57
2023-12-03,Wheat (قمح),9571.32
2023-12-04,Wheat (قمح),9535.67
2023-12-05,Wheat (قمح),9566.35
2023-12-06,Wheat (قمح),9509.35
2023-12-07,Wheat (قمح),9429.33
2023-12-08,Wheat (قمح),9445.48
2023-12-09,Wheat (قمح),9461.98
2023-12-10,Wheat (قمح),9411.05
2023-12-11,Wheat (قمح),9363.59
2023-12-12,Wheat (قمح),9379.66
2023-12-13,Wheat (قمح),9244.76
2023-12-14,Wheat (قمح),9113.76
2023-12-15,Wheat (قمح),9045.02
2023-12-16,Wheat (قمح),9021.98
2023-12-17,Wheat (قمح),9046.38
2023-12-18,Wheat (قمح),9175.83
2023-12-19,Wheat (قمح),9249.94
2023-12-20,Wheat (قمح),9232.73
2023-12-21,Wheat (قمح),9228.45
2023-12-22,Wheat (قمح),9135.9
2023-12-23,Wheat (قمح),9132.18
2023-12-24,Wheat (قمح),9104.4
2023-12-25,Wheat (قمح),9131.89
2023-12-26,Wheat (قمح),9056.15
2023-12-27,Wheat (قمح),9101.86
2023-12-28,Wheat (قمح),9239.04
2023-12-29,Wheat (قمح),9228.73
2023-12-30,Wheat (قمح),9264.63
2023-12-31,Wheat (قمح),9326.74
2024-01-01,Wheat (قمح),9290.89
2024-01-02,Wheat (قمح),9311.57
2024-01-03,Wheat (قمح),9313.48
2024-01-04,Wheat (قمح),9323.3
2024-01-05,Wheat (قمح),9255.02
2024-01-06,Wheat (قمح),9258.77
2024-01-07,Wheat (قمح),9305.4
2024-01-08,Wheat (قمح),9438.06
2024-01-09,Wheat (قمح),9526.71
2024-01-10,Wheat (قمح),9723.06
2024-01-11,Wheat (قمح),9656.83
2024-01-12,Wheat (قمح),9738.41
2024-01-13,Wheat (قمح),9758.24
2024-01-14,Wheat (قمح),9958.9
2024-01-15,Wheat (قمح),9889.99
2024-01-16,Wheat (قمح),9818.49
2024-01-17,Wheat (قمح),9768.87
2024-01-18,Wheat (قمح),9582.3
2024-01-19,Wheat (قمح),9539.8
2024-01-20,Wheat (قمح),9476.54
2024-01-21,Wheat (قمح),9495.38
2024-01-22,Wheat (قمح),9531.68
2024-01-23,Wheat (قمح),9706.32
2024-01-24,Wheat (قمح),9797.88
2024-01-25,Wheat (قمح),9752.22
2024-01-26,Wheat (قمح),9677.85
2024-01-27,Wheat (قمح),9728.85
2024-01-28,Wheat (قمح),9616.98
2024-01-29,Wheat (قمح),9789.0
2024-01-30,Wheat (قمح),9902.55
2024-01-31,Wheat (قمح),9867.96
2024-02-01,Wheat (قمح),9721.62
2024-02-02,Wheat (قمح),9851.54
2024-02-03,Wheat (قمح),9849.52
2024-02-04,Wheat (قمح),9969.43
2024-02-05,Wheat (قمح),9834.64
2024-02-06,Wheat (قمح),9789.62
2024-02-07,Wheat (قمح),9799.22
2024-02-08,Wheat (قمح),9812.77
2024-02-09,Wheat (قمح),9781.8
2024-02-10,Wheat (قمح),9847.59
2024-02-11,Wheat (قمح),9761.42
2024-02-12,Wheat (قمح),9758.73
2024-02-13,Wheat (قمح),9779.86
2024-02-14,Wheat (قمح),9836.65
2024-02-15,Wheat (قمح),9911.37
2024-02-16,Wheat (قمح),9821.01
2024-02-17,Wheat (قمح),9693.97
2024-02-18,Wheat (قمح),9820.16
2024-02-19,Wheat (قمح),9861.45
2024-02-20,Wheat (قمح),9805.62
2024-02-21,Wheat (قمح),9956.93
2024-02-22,Wheat (قمح),9979.21
2024-02-23,Wheat (قمح),10097.36
2024-02-24,Wheat (قمح),10115.61
2024-02-25,Wheat (قمح),10313.4
2024-02-26,Wheat (قمح),10483.85
2024-02-27,Wheat (قمح),10474.05
2024-02-28,Wheat (قمح),10574.24
2024-02-29,Wheat (قمح),10645.21
2024-03-01,Wheat (قمح),10781.4
2024-03-02,Wheat (قمح),10707.69
2024-03-03,Wheat (قمح),10782.7
2024-03-04,Wheat (قمح),10891.34
2024-03-05,Wheat (قمح),10746.54
2024-03-06,Wheat (قمح),10653.66
2024-03-07,Wheat (قمح),10483.84
2024-03-08,Wheat (قمح),10473.4
2024-03-09,Wheat (قمح),10551.9
2024-03-10,Wheat (قمح),10701.12
2024-03-11,Wheat (قمح),10721.88
2024-03-12,Wheat (قمح),10882.64
2024-03-13,Wheat (قمح),10772.7
2024-03-14,Wheat (قمح),10633.74
2024-03-15,Wheat (قمح),10643.16
2024-03-16,Wheat (قمح),10692.21
2024-03-17,Wheat (قمح),10703.82
2024-03-18,Wheat (قمح),10532.36
2024-03-19,Wheat (قمح),10539.0
2024-03-20,Wheat (قمح),10436.32
2024-03-21,Wheat (قمح),10511.36
2024-03-22,Wheat (قمح),10559.16
2024-03-23,Wheat (قمح),10489.42
2024-03-24,Wheat (قمح),10458.06
2024-03-25,Wheat (قمح),10377.64
2024-03-26,Wheat (قمح),10386.94
2024-03-27,Wheat (قمح),10487.86
2024-03-28,Wheat (قمح),10414.12
2024-03-29,Wheat (قمح),10474.48
2024-03-30,Wheat (قمح),10441.75
2024-03-31,Wheat (قمح),10385.39
2024-04-01,Wheat (قمح),10390.76
2024-04-02,Wheat (قمح),10312.58
2024-04-03,Wheat (قمح),10277.73
2024-04-04,Wheat (قمح),10184.89
2024-04-05,Wheat (قمح),10376.67
2024-04-06,Wheat (قمح),10394.77
2024-04-07,Wheat (قمح),10346.69
2024-04-08,Wheat (قمح),10380.82
2024-04-09,Wheat (قمح),10385.54
2024-04-10,Wheat (قمح),10380.44
2024-04-11,Wheat (قمح),10450.46
2024-04-12,Wheat (قمح),10533.33
2024-04-13,Wheat (قمح),10500.22
2024-04-14,Wheat (قمح),10462.98
2024-04-15,Wheat (قمح),10452.75
2024-04-16,Wheat (قمح),10260.03
2024-04-17,Wheat (قمح),10138.04
2024-04-18,Wheat (قمح),10275.36
2024-04-19,Wheat (قمح),10437.64
2024-04-20,Wheat (قمح),10429.36
2024-04-21,Wheat (قمح),10495.31
2024-04-22,Wheat (قمح),10537.28
2024-04-23,Wheat (قمح),10828.24
2024-04-24,Wheat (قمح),10942.77
2024-04-25,Wheat (قمح),10944.92
2024-04-26,Wheat (قمح),10872.47
2024-04-27,Wheat (قمح),10741.33
2024-04-28,Wheat (قمح),10772.96
2024-04-29,Wheat (قمح),10718.09
2024-04-30,Wheat (قمح),10603.16
2024-05-01,Wheat (قمح),10557.92
2024-05-02,Wheat (قمح),10473.39
2024-05-03,Wheat (قمح),10637.91
2024-05-04,Wheat (قمح),10729.8
2024-05-05,Wheat (قمح),10741.48
2024-05-06,Wheat (قمح),10886.92
2024-05-07,Wheat (قمح),10905.98
2024-05-08,Wheat (قمح),10840.41
2024-05-09,Wheat (قمح),10989.27
2024-05-10,Wheat (قمح),11049.4
2024-05-11,Wheat (قمح),10967.5
2024-05-12,Wheat (قمح),10961.66
2024-05-13,Wheat (قمح),10893.98
2024-05-14,Wheat (قمح),10780.47
2024-05-15,Wheat (قمح),10874.59
2024-05-16,Wheat (قمح),11057.02
2024-05-17,Wheat (قمح),10941.55
2024-05-18,Wheat (قمح),11002.43
2024-05-19,Wheat (قمح),10953.89
2024-05-20,Wheat (قمح),10919.88
2024-05-21,Wheat (قمح),10876.19
2024-05-22,Wheat (قمح),10807.86
2024-05-23,Wheat (قمح),10821.46
2024-05-24,Wheat (قمح),10755.7
2024-05-25,Wheat (قمح),10788.86
2024-05-26,Wheat (قمح),10792.94
2024-05-27,Wheat (قمح),10779.83
2024-05-28,Wheat (قمح),10706.33
2024-05-29,Wheat (قمح),10662.38
2024-05-30,Wheat (قمح),10738.11
2024-05-31,Wheat (قمح),10790.71
2024-06-01,Wheat (قمح),10710.02
2024-06-02,Wheat (قمح),10726.03
2024-06-03,Wheat (قمح),10800.49
2024-06-04,Wheat (قمح),10656.85
2024-06-05,Wheat (قمح),10712.13
2024-06-06,Wheat (قمح),10658.63
2024-06-07,Wheat (قمح),10715.89
2024-06-08,Wheat (قمح),10652.87
2024-06-09,Wheat (قمح),10495.85
2024-06-10,Wheat (قمح),10354.56
2024-06-11,Wheat (قمح),10363.83
2024-06-12,Wheat (قمح),10391.9
2024-06-13,Wheat (قمح),10314.96
2024-06-14,Wheat (قمح),10376.64
2024-06-15,Wheat (قمح),10231.05
2024-06-16,Wheat (قمح),10228.81
2024-06-17,Wheat (قمح),10123.28
2024-06-18,Wheat (قمح),10067.81
2024-06-19,Wheat (قمح),10075.03
2024-06-20,Wheat (قمح),10000.29
2024-06-21,Wheat (قمح),9968.12
2024-06-22,Wheat (قمح),10060.87
2024-06-23,Wheat (قمح),10010.88
2024-06-24,Wheat (قمح),10087.77
2024-06-25,Wheat (قمح),9987.52
2024-06-26,Wheat (قمح),10036.36
2024-06-27,Wheat (قمح),10167.0
2024-06-28,Wheat (قمح),9945.2
2024-06-29,Wheat (قمح),9873.87
2024-06-30,Wheat (قمح),9925.93
2024-07-01,Wheat (قمح),9907.53
2024-07-02,Wheat (قمح),9940.55
2024-07-03,Wheat (قمح),9885.54
2024-07-04,Wheat (قمح),9892.43
2024-07-05,Wheat (قمح),9877.26
2024-07-06,Wheat (قمح),9980.94
2024-07-07,Wheat (قمح),10002.17
2024-07-08,Wheat (قمح),10030.62
2024-07-09,Wheat (قمح),9991.36
2024-07-10,Wheat (قمح),9945.04
2024-07-11,Wheat (قمح),9903.41
2024-07-12,Wheat (قمح),9935.96
2024-07-13,Wheat (قمح),9894.87
2024-07-14,Wheat (قمح),9917.49
2024-07-15,Wheat (قمح),10100.57
2024-07-16,Wheat (قمح),10175.02
2024-07-17,Wheat (قمح),10141.48
2024-07-18,Wheat (قمح),10245.13
2024-07-19,Wheat (قمح),10203.71
2024-07-20,Wheat (قمح),10015.34
2024-07-21,Wheat (قمح),9919.43
2024-07-22,Wheat (قمح),9745.63
2024-07-23,Wheat (قمح),9708.33
2024-07-24,Wheat (قمح),9704.08
2024-07-25,Wheat (قمح),9848.82
2024-07-26,Wheat (قمح),9871.87
2024-07-27,Wheat (قمح),9845.54
2024-07-28,Wheat (قمح),9913.35
2024-07-29,Wheat (قمح),9707.28
2024-07-30,Wheat (قمح),9721.19
2024-07-31,Wheat (قمح),9783.05
2024-08-01,Wheat (قمح),9642.24
2024-08-02,Wheat (قمح),9737.21
2024-08-03,Wheat (قمح),9759.5
2024-08-04,Wheat (قمح),9713.73
2024-08-05,Wheat (قمح),9762.07
2024-08-06,Wheat (قمح),9957.62
2024-08-07,Wheat (قمح),9964.96
2024-08-08,Wheat (قمح),9978.07
2024-08-09,Wheat (قمح),9927.3
2024-08-10,Wheat (قمح),9841.18
2024-08-11,Wheat (قمح),9906.09
2024-08-12,Wheat (قمح),9819.02
2024-08-13,Wheat (قمح),9815.25
2024-08-14,Wheat (قمح),9761.86
2024-08-15,Wheat (قمح),9794.38
2024-08-16,Wheat (قمح),9813.65
2024-08-17,Wheat (قمح),9896.08
2024-08-18,Wheat (قمح),9839.06
2024-08-19,Wheat (قمح),9803.48
2024-08-20,Wheat (قمح),9703.94
2024-08-21,Wheat (قمح),9652.33
2024-08-22,Wheat (قمح),9674.5
2024-08-23,Wheat (قمح),9730.69
2024-08-24,Wheat (قمح),9635.59
2024-08-25,Wheat (قمح),9701.61
2024-08-26,Wheat (قمح),9811.22
2024-08-27,Wheat (قمح),9835.89
2024-08-28,Wheat (قمح),9992.13
2024-08-29,Wheat (قمح),9909.67
2024-08-30,Wheat (قمح),9784.7
2024-08-31,Wheat (قمح),9611.54
2024-09-01,Wheat (قمح),9732.99
2024-09-02,Wheat (قمح),9778.56
2024-09-03,Wheat (قمح),9760.12
2024-09-04,Wheat (قمح),9771.77
2024-09-05,Wheat (قمح),9656.81
2024-09-06,Wheat (قمح),9863.17
2024-09-07,Wheat (قمح),9860.93
2024-09-08,Wheat (قمح),9856.82
2024-09-09,Wheat (قمح),9908.08
2024-09-10,Wheat (قمح),9937.23
2024-09-11,Wheat (قمح),9943.16
2024-09-12,Wheat (قمح),9857.71
2024-09-13,Wheat (قمح),9885.76
2024-09-14,Wheat (قمح),10040.69
2024-09-15,Wheat (قمح),10147.26
2024-09-16,Wheat (قمح),10276.06
2024-09-17,Wheat (قمح),10215.41
2024-09-18,Wheat (قمح),10111.65
2024-09-19,Wheat (قمح),10085.59
2024-09-20,Wheat (قمح),10075.82
2024-09-21,Wheat (قمح),10159.46
2024-09-22,Wheat (قمح),9992.27
2024-09-23,Wheat (قمح),10115.04
2024-09-24,Wheat (قمح),10085.89
2024-09-25,Wheat (قمح),10032.52
2024-09-26,Wheat (قمح),9926.46
2024-09-27,Wheat (قمح),9762.54
2024-09-28,Wheat (قمح),9821.63
2024-09-29,Wheat (قمح),9813.23
2024-09-30,Wheat (قمح),9682.14
2024-10-01,Wheat (قمح),9550.58
2024-10-02,Wheat (قمح),9505.37
2024-10-03,Wheat (قمح),9640.61
2024-10-04,Wheat (قمح),9602.29
2024-10-05,Wheat (قمح),9452.06
2024-10-06,Wheat (قمح),9415.03
2024-10-07,Wheat (قمح),9375.61
2024-10-08,Wheat (قمح),9118.04
2024-10-09,Wheat (قمح),9098.34
2024-10-10,Wheat (قمح),9062.79
2024-10-11,Wheat (قمح),9110.73
2024-10-12,Wheat (قمح),9262.47
2024-10-13,Wheat (قمح),9349.25
2024-10-14,Wheat (قمح),9310.49
2024-10-15,Wheat (قمح),9196.42
2024-10-16,Wheat (قمح),9413.61
2024-10-17,Wheat (قمح),9404.59
2024-10-18,Wheat (قمح),9391.58
2024-10-19,Wheat (قمح),9375.22
2024-10-20,Wheat (قمح),9378.95
2024-10-21,Wheat (قمح),9351.95
2024-10-22,Wheat (قمح),9286.41
2024-10-23,Wheat (قمح),9223.38
2024-10-24,Wheat (قمح),9206.72
2024-10-25,Wheat (قمح),9144.21
