Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters),Yield_per_Acre,Water_Efficiency,Fertilizer_Efficiency,Pesticide_Efficiency,Input_Efficiency,Final_Efficiency_Score
F013,Wheat,329.1,Drip,5.26,0.83,5.44,Clay,Zaid,45922.35,0.002438293511541575,0.00982282159445026,0.004923110600586478,0.02050679831864842,0.009836703975043527,0.009505545600054052
F014,Rice,246.02,Flood,1.01,3.45,11.38,Sandy,Rabi,71953.14,0.012199734672811175,0.016998341507122185,0.23642355483447663,0.008938554622023795,0.01702473664623432,0.058316984456533626
F015,Sugarcane,305.15,Rain-fed,5.39,2.15,28.77,Peaty,Kharif,33615.77,0.027969994293291056,0.14310874680219887,0.10227856359462796,0.044765570861002295,0.1433032950959639,0.09228523412941682
F016,Barley,60.22,Flood,2.19,0.35,16.03,Sandy,Zaid,25132.48,0.08442071949539318,0.10369921286519723,0.14711612064690896,0.1599574555494407,0.10385398692455775,0.11980949909629957
F017,Carrot,284.01,Manual,5.89,0.81,47.7,Loamy,Zaid,88301.46,0.05216151670803915,0.0860530522608746,0.16473551924607668,0.20646574286817304,0.08618393265716201,0.11911995274806512
F018,Maize,128.23,Rain-fed,4.91,0.77,16.67,Loamy,Rabi,18660.03,0.039699325713557256,0.1498879391224552,0.05833283943825482,0.07414380486688037,0.15007882919973822,0.09442854766817717
F019,Maize,460.93,Drip,1.09,1.31,39.96,Sandy,Zaid,54314.28,0.025478541759160683,0.12139470335571317,0.8108867195875279,0.10560606717196803,0.12158348239093847,0.23698990285306168
F020,Barley,58.85,Sprinkler,3.61,3.32,18.85,Sandy,Kharif,92481.89,0.1021908274887955,0.02525252058601534,0.09965307108624369,0.017392340372574824,0.02529108956778655,0.05395596982028318
F021,Cotton,377.05,Drip,5.95,0.91,29.17,Clay,Rabi,26743.55,0.022414619903755408,0.18556466396942345,0.09243449386099274,0.11111763652255276,0.18581102876598216,0.11946848860454132
F022,Wheat,92.67,Flood,6.95,3.64,30.7,Clay,Rabi,42874.34,0.10579546467193836,0.1178388852582484,0.08145672186191272,0.02718639971547271,0.11799586668804798,0.09005466763912404
F023,Potato,15.67,Drip,9.95,2.99,18.13,Loamy,Zaid,41862.86,0.3769365924604808,0.06669171544623707,0.022747306516194794,0.018763311809926873,0.06677490964053243,0.11038276717467439
F024,Rice,483.88,Drip,6.31,2.29,34.46,Clay,Zaid,61383.07,0.020395853216675204,0.08988461968716877,0.10507270183943362,0.05068758252789609,0.09001479322014644,0.07121111009826402
F025,Barley,75.64,Flood,6.69,3.57,6.14,Silty,Zaid,43847.82,0.023665807938360917,0.013721497508249561,0.002289087074759815,0.003329147873712722,0.013738510761793662,0.011348810231375336
F026,Wheat,162.28,Flood,5.85,2.42,24.63,Loamy,Rabi,65838.4,0.046849348194832184,0.05603028935017094,0.07677360274340886,0.03338194323206652,0.05611220231542003,0.05382947716717971
F027,Cotton,375.1,Rain-fed,0.5,4.76,22.51,Clay,Kharif,39362.44,0.01671629550695754,0.09177754624976175,0.9999999999999999,0.014021289729046838,0.09191114315408777,0.24288525492797075
F028,Tomato,256.19,Flood,7.32,2.19,48.02,Silty,Rabi,81313.04,0.05856062579507642,0.09515624628702318,0.12993360859163927,0.07513015558904938,0.09529656181516322,0.0908154396155903
F029,Wheat,288.52,Manual,1.79,4.78,36.9,Silty,Zaid,23208.04,0.03900753741615757,0.27580368676725087,0.4478823769354356,0.024647945035655164,0.2761631419938159,0.21270093762966305
F030,Potato,286.52,Rain-fed,8.91,0.77,30.5,Loamy,Zaid,93407.38,0.03196576779188512,0.047431605283955354,0.05896645755272832,0.13796413122415124,0.04750218544593387,0.06476602945973078
F031,Barley,136.16,Flood,5.89,1.36,11.86,Clay,Zaid,30098.35,0.02561288530477619,0.059635205777718824,0.027078914497140918,0.028204489304426032,0.05971419459844105,0.0400491378965006
F032,Carrot,350.42,Flood,8.4,2.94,24.34,Clay,Rabi,71580.87,0.019819062460849756,0.04987329202373576,0.04707820756046402,0.026635095165947364,0.04994414080637619,0.03866995960347462
F033,Barley,446.76,Drip,7.79,0.96,46.47,Loamy,Zaid,93656.06,0.031166425730653886,0.07809665911772011,0.11647832820437418,0.1692181517669281,0.07821387875481522,0.0946346887148983
F034,Tomato,264.12,Drip,4.75,4.79,12.92,Loamy,Rabi,92745.01,0.013073461718791434,0.013590797640771446,0.04305998595471268,0.006802101923640905,0.013610939076749769,0.01802745726293325
F035,Soybean,266.03,Drip,8.57,1.35,34.45,Silty,Zaid,43610.21,0.03953378954186123,0.13119782146990439,0.07246579427627776,0.08789198261300091,0.13137559595453396,0.09249299677111565
F036,Cotton,446.16,Manual,4.35,3.47,12.53,Loamy,Zaid,38874.28,0.00623239680364007,0.04667142883010208,0.04669001845276223,0.010048595534619863,0.04673518606736407,0.031275525137697664
F037,Soybean,156.1,Manual,1.18,4.43,40.15,Loamy,Zaid,73646.55,0.08147068853390177,0.0869525902009992,0.7512730503221953,0.0294218988561932,0.08708480742145316,0.20724060706694852
F038,Barley,431.22,Drip,5.71,3.18,45.95,Silty,Kharif,36065.94,0.03200133933164736,0.2187014302118861,0.16357754214471895,0.048561488705564725,0.21899444068652327,0.13636724821606808
F039,Cotton,220.48,Flood,9.96,2.91,10.53,Clay,Zaid,82549.03,0.012693293375437512,0.011467634253235355,0.0054436222478597,0.01007562057316367,0.011483383633277,0.010232710816594649
F040,Cotton,166.82,Rain-fed,2.85,1.36,46.19,Sandy,Zaid,12007.7,0.08793257297154702,0.6837176267599676,0.3481726752655894,0.11789829693493595,0.6845650171064438,0.38445723780769675
F041,Rice,370.79,Flood,8.18,4.99,35.01,Sandy,Kharif,85208.71,0.028015481248029724,0.06267765338931837,0.07835028448374179,0.02214774997135726,0.0627671786274537,0.05079166954398018
F042,Sugarcane,418.99,Sprinkler,0.78,0.58,26.29,Clay,Zaid,33705.69,0.017614554432858226,0.1293964916333179,0.7440271022622874,0.1582788442777354,0.12959821996006793,0.23578304251325335
F043,Cotton,78.79,Flood,1.35,3.0,11.45,Sandy,Zaid,94754.73,0.04473076887548451,0.010252557288511396,0.17340022637576585,0.010779557727853144,0.010268964494717012,0.04988641495246638
F044,Soybean,84.12,Manual,4.64,2.53,24.77,Sandy,Rabi,40614.4,0.09370377969800042,0.09864932670426962,0.10229439340273891,0.03200621820413071,0.09878822706553805,0.08508838901493554
F045,Tomato,326.69,Sprinkler,5.24,0.55,18.34,Peaty,Kharif,37466.11,0.01544488630128436,0.07689136615158465,0.06070568834136335,0.11570315838630058,0.07700136174121863,0.06914929218435031
F046,Carrot,112.8,Sprinkler,1.8,1.01,31.57,Clay,Kharif,79966.1,0.08891461923712013,0.059770908734565274,0.37830319497288956,0.10828383927384466,0.05986478208247179,0.1390274688601783
F047,Potato,347.66,Drip,3.86,2.68,31.47,Sandy,Kharif,86989.88,0.026734637007305922,0.05380130526722305,0.16596569062123792,0.03894227439693778,0.05388324599205426,0.06786543065695178
F048,Potato,77.39,Sprinkler,9.34,3.0,20.53,Silty,Zaid,5874.17,0.08412160813934934,0.6201397521238288,0.031252586021362216,0.021534105661318928,0.6198034125013798,0.2753702928894478
F049,Barley,462.37,Sprinkler,2.3,0.14,39.51,Clay,Kharif,53879.87,0.025070290304118212,0.1209572532087658,0.37014481715074493,0.9999999999999999,0.12114520810256765,0.3274635137532393
F050,Tomato,292.25,Rain-fed,4.08,0.76,45.14,Silty,Kharif,90232.08,0.04773008059031782,0.07883564663784703,0.23181754594947052,0.20826315456197625,0.07895757868645206,0.12912080128521272
